Circuit,Class,Constructor,Country,Rider,Season,Class_Clean,Country_Full
Misano World Circuit Marco Simoncelli,MotoE™,Energica,IT,Matteo Ferrari,2020,MotoE™,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Yamaha,ES,Maverick Viñales,2020,MotoGP,SPAIN
Misano World Circuit Marco Simoncelli,Moto2™,Kalex,IT,Enea Bastianini,2020,Moto2™,ITALY
Misano World Circuit Marco Simoncelli,Moto3™,Honda,GB,John Mcphee,2020,Moto3™,GREAT BRITAIN
Misano World Circuit Marco Simoncelli,Moto2™,Kalex,IT,Luca Marini,2020,Moto2™,ITALY
Misano World Circuit Marco Simoncelli,MotoE™,Energica,IT,Matteo Ferrari,2020,MotoE™,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Yamaha,IT,Franco Morbidelli,2020,MotoGP,ITALY
Red Bull Ring - Spielberg,MotoGP™,KTM,PT,Miguel Oliveira,2020,MotoGP,PORTUGAL
Red Bull Ring - Spielberg,Moto2™,Kalex,IT,Marco Bezzecchi,2020,Moto2™,ITALY
Red Bull Ring - Spielberg,Moto3™,KTM,IT,Celestino Vietti,2020,Moto3™,ITALY
Red Bull Ring - Spielberg,MotoGP™,Ducati,IT,Andrea Dovizioso,2020,MotoGP,ITALY
Red Bull Ring - Spielberg,Moto3™,KTM,ES,Albert Arenas,2020,Moto3™,SPAIN
Red Bull Ring - Spielberg,Moto2™,Kalex,ES,Jorge Martin,2020,Moto2™,SPAIN
Automotodrom Brno,Moto2™,Kalex,IT,Enea Bastianini,2020,Moto2™,ITALY
Automotodrom Brno,Moto3™,Honda,IT,Dennis Foggia,2020,Moto3™,ITALY
Automotodrom Brno,MotoGP™,KTM,ZA,Brad Binder,2020,MotoGP,SOUTH AFRICA
Circuito de Jerez - Angel Nieto,MotoE™,NTS,CH,Dominique Aegerter,2020,MotoE™,SWITZERLAND
Circuito de Jerez - Angel Nieto,Moto3™,Honda,JP,Tatsuki Suzuki,2020,Moto3™,JAPAN
Circuito de Jerez - Angel Nieto,MotoGP™,Yamaha,FR,Fabio Quartararo,2020,MotoGP,FRANCE
Circuito de Jerez - Angel Nieto,Moto2™,Kalex,IT,Enea Bastianini,2020,Moto2™,ITALY
Circuito de Jerez - Angel Nieto,Moto2™,Kalex,IT,Luca Marini,2020,Moto2™,ITALY
Circuito de Jerez - Angel Nieto,MotoGP™,Yamaha,FR,Fabio Quartararo,2020,MotoGP,FRANCE
Circuito de Jerez - Angel Nieto,MotoE™,Energica,BR,Eric Granado,2020,MotoE™,BRAZIL
Circuito de Jerez - Angel Nieto,Moto3™,KTM,ES,Albert Arenas,2020,Moto3™,SPAIN
Lusail International Circuit,Moto2™,Kalex,JP,Tetsuta Nagashima,2020,Moto2™,JAPAN
Lusail International Circuit,Moto3™,KTM,ES,Albert Arenas,2020,Moto3™,SPAIN
Circuit Ricardo Tormo,MotoE™,Energica,BR,Eric Granado,2019,MotoE™,BRAZIL
Circuit Ricardo Tormo,Moto2™,KTM,ZA,Brad Binder,2019,Moto2™,SOUTH AFRICA
Circuit Ricardo Tormo,Moto3™,Honda,ES,Sergio Garcia,2019,Moto3™,SPAIN
Circuit Ricardo Tormo,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Circuit Ricardo Tormo,MotoE™,Energica,BR,Eric Granado,2019,MotoE™,BRAZIL
Sepang International Circuit,Moto2™,KTM,ZA,Brad Binder,2019,Moto2™,SOUTH AFRICA
Sepang International Circuit,MotoGP™,Yamaha,ES,Maverick Viñales,2019,MotoGP,SPAIN
Sepang International Circuit,Moto3™,Honda,IT,Lorenzo Dalla Porta,2019,Moto3™,ITALY
Phillip Island,Moto2™,KTM,ZA,Brad Binder,2019,Moto2™,SOUTH AFRICA
Phillip Island,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Phillip Island,Moto3™,Honda,IT,Lorenzo Dalla Porta,2019,Moto3™,ITALY
Mobility Resort Motegi,Moto3™,Honda,IT,Lorenzo Dalla Porta,2019,Moto3™,ITALY
Mobility Resort Motegi,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Mobility Resort Motegi,Moto2™,Kalex,IT,Luca Marini,2019,Moto2™,ITALY
Chang International Circuit,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Chang International Circuit,Moto3™,KTM,ES,Albert Arenas,2019,Moto3™,SPAIN
Chang International Circuit,Moto2™,Kalex,IT,Luca Marini,2019,Moto2™,ITALY
MotorLand Aragón,Moto3™,KTM,ES,Aron Canet,2019,Moto3™,SPAIN
MotorLand Aragón,Moto2™,KTM,ZA,Brad Binder,2019,Moto2™,SOUTH AFRICA
MotorLand Aragón,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Misano World Circuit Marco Simoncelli,Moto3™,Honda,JP,Tatsuki Suzuki,2019,Moto3™,JAPAN
Misano World Circuit Marco Simoncelli,Moto2™,Kalex,ES,Augusto Fernandez,2019,Moto2™,SPAIN
Misano World Circuit Marco Simoncelli,MotoE™,Energica,IT,Matteo Ferrari,2019,MotoE™,ITALY
Misano World Circuit Marco Simoncelli,MotoE™,Energica,IT,Matteo Ferrari,2019,MotoE™,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Silverstone Circuit,MotoGP™,Suzuki,ES,Alex Rins,2019,MotoGP,SPAIN
Silverstone Circuit,Moto3™,Honda,ES,Marcos Ramirez,2019,Moto3™,SPAIN
Silverstone Circuit,Moto2™,Kalex,ES,Augusto Fernandez,2019,Moto2™,SPAIN
Red Bull Ring - Spielberg,MotoGP™,Ducati,IT,Andrea Dovizioso,2019,MotoGP,ITALY
Red Bull Ring - Spielberg,Moto3™,Honda,IT,Romano Fenati,2019,Moto3™,ITALY
Red Bull Ring - Spielberg,Moto2™,KTM,ZA,Brad Binder,2019,Moto2™,SOUTH AFRICA
Red Bull Ring - Spielberg,MotoE™,Energica,FR,Mike Di Meglio,2019,MotoE™,FRANCE
Automotodrom Brno,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Automotodrom Brno,Moto3™,KTM,ES,Aron Canet,2019,Moto3™,SPAIN
Automotodrom Brno,Moto2™,Kalex,ES,Alex Marquez,2019,Moto2™,SPAIN
Sachsenring,Moto2™,Kalex,ES,Alex Marquez,2019,Moto2™,SPAIN
Sachsenring,Moto3™,Honda,IT,Lorenzo Dalla Porta,2019,Moto3™,ITALY
Sachsenring,MotoE™,Energica,FI,Niki Tuuli,2019,MotoE™,FINLAND
Sachsenring,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
TT Circuit Assen,Moto3™,Honda,IT,Tony Arbolino,2019,Moto3™,ITALY
TT Circuit Assen,MotoGP™,Yamaha,ES,Maverick Viñales,2019,MotoGP,SPAIN
TT Circuit Assen,Moto2™,Kalex,ES,Augusto Fernandez,2019,Moto2™,SPAIN
Circuit de Barcelona-Catalunya,Moto2™,Kalex,ES,Alex Marquez,2019,Moto2™,SPAIN
Circuit de Barcelona-Catalunya,Moto3™,Honda,ES,Marcos Ramirez,2019,Moto3™,SPAIN
Circuit de Barcelona-Catalunya,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Autodromo Internazionale del Mugello,Moto3™,Honda,IT,Tony Arbolino,2019,Moto3™,ITALY
Autodromo Internazionale del Mugello,Moto2™,Kalex,ES,Alex Marquez,2019,Moto2™,SPAIN
Autodromo Internazionale del Mugello,MotoGP™,Ducati,IT,Danilo Petrucci,2019,MotoGP,ITALY
Le Mans,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Le Mans,Moto2™,Kalex,ES,Alex Marquez,2019,Moto2™,SPAIN
Le Mans,Moto3™,Honda,GB,John Mcphee,2019,Moto3™,GREAT BRITAIN
Circuito de Jerez - Angel Nieto,Moto2™,Kalex,IT,Lorenzo Baldassarri,2019,Moto2™,ITALY
Circuito de Jerez - Angel Nieto,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Circuito de Jerez - Angel Nieto,Moto3™,Honda,IT,Niccolò Antonelli,2019,Moto3™,ITALY
Circuit Of The Americas,Moto3™,KTM,ES,Aron Canet,2019,Moto3™,SPAIN
Circuit Of The Americas,Moto2™,Kalex,CH,Thomas Luthi,2019,Moto2™,SWITZERLAND
Circuit Of The Americas,MotoGP™,Suzuki,ES,Alex Rins,2019,MotoGP,SPAIN
Termas de Río Hondo,Moto3™,KTM,ES,Jaume Masia,2019,Moto3™,SPAIN
Termas de Río Hondo,Moto2™,Kalex,IT,Lorenzo Baldassarri,2019,Moto2™,ITALY
Termas de Río Hondo,MotoGP™,Honda,ES,Marc Marquez,2019,MotoGP,SPAIN
Lusail International Circuit,Moto2™,Kalex,IT,Lorenzo Baldassarri,2019,Moto2™,ITALY
Lusail International Circuit,Moto3™,Honda,JP,Kaito Toba,2019,Moto3™,JAPAN
Lusail International Circuit,MotoGP™,Ducati,IT,Andrea Dovizioso,2019,MotoGP,ITALY
Circuit Ricardo Tormo,MotoGP™,Ducati,IT,Andrea Dovizioso,2018,MotoGP,ITALY
Circuit Ricardo Tormo,Moto3™,KTM,TR,Can öncü,2018,Moto3™,TURKEY
Circuit Ricardo Tormo,Moto2™,KTM,PT,Miguel Oliveira,2018,Moto2™,PORTUGAL
Sepang International Circuit,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
Sepang International Circuit,Moto2™,Kalex,IT,Luca Marini,2018,Moto2™,ITALY
Sepang International Circuit,Moto3™,Honda,ES,Jorge Martin,2018,Moto3™,SPAIN
Phillip Island,Moto3™,KTM,ES,Albert Arenas,2018,Moto3™,SPAIN
Phillip Island,MotoGP™,Yamaha,ES,Maverick Viñales,2018,MotoGP,SPAIN
Phillip Island,Moto2™,KTM,ZA,Brad Binder,2018,Moto2™,SOUTH AFRICA
Mobility Resort Motegi,Moto3™,KTM,IT,Marco Bezzecchi,2018,Moto3™,ITALY
Mobility Resort Motegi,Moto2™,Kalex,IT,Francesco Bagnaia,2018,Moto2™,ITALY
Mobility Resort Motegi,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
Chang International Circuit,Moto2™,Kalex,IT,Francesco Bagnaia,2018,Moto2™,ITALY
Chang International Circuit,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
Chang International Circuit,Moto3™,Honda,IT,Fabio Di Giannantonio,2018,Moto3™,ITALY
MotorLand Aragón,Moto3™,Honda,ES,Jorge Martin,2018,Moto3™,SPAIN
MotorLand Aragón,Moto2™,KTM,ZA,Brad Binder,2018,Moto2™,SOUTH AFRICA
MotorLand Aragón,MotoGP™,Honda,ES,Marc Marquez,2018,MotoGP,SPAIN
Misano World Circuit Marco Simoncelli,Moto3™,Honda,IT,Lorenzo Dalla Porta,2018,Moto3™,ITALY
Misano World Circuit Marco Simoncelli,MotoGP™,Ducati,IT,Andrea Dovizioso,2018,MotoGP,ITALY
